k,Loops to solve,Solving Count,Random Moves,Solving Moves
7,2715,7,"[{:pole=>0, :level=>1}, {:pole=>0, :level=>0}, {:pole=>2, :level=>1}, {:pole=>1, :level=>1}, {:pole=>1, :level=>0}, {:pole=>0, :level=>1}, {:pole=>2, :level=>1}]","[{:pole=>0, :level=>0}, {:pole=>1, :level=>0}, {:pole=>2, :level=>1}, {:pole=>0, :level=>1}, {:pole=>1, :level=>1}, {:pole=>2, :level=>1}, {:pole=>0, :level=>1}]"
8,293,8,"[{:pole=>2, :level=>0}, {:pole=>1, :level=>1}, {:pole=>3, :level=>1}, {:pole=>1, :level=>1}, {:pole=>0, :level=>1}, {:pole=>2, :level=>0}, {:pole=>0, :level=>0}, {:pole=>2, :level=>1}]","[{:pole=>2, :level=>1}, {:pole=>0, :level=>0}, {:pole=>0, :level=>1}, {:pole=>1, :level=>1}, {:pole=>3, :level=>1}, {:pole=>1, :level=>1}, {:pole=>2, :level=>0}, {:pole=>2, :level=>0}]"
8,231,5,"[{:pole=>0, :level=>1}, {:pole=>0, :level=>1}, {:pole=>3, :level=>0}, {:pole=>2, :level=>1}, {:pole=>0, :level=>1}, {:pole=>3, :level=>1}, {:pole=>3, :level=>0}, {:pole=>3, :level=>0}]","[{:pole=>3, :level=>1}, {:pole=>0, :level=>1}, {:pole=>2, :level=>1}, {:pole=>0, :level=>1}, {:pole=>0, :level=>1}]"
8,3513,8,"[{:pole=>2, :level=>1}, {:pole=>1, :level=>0}, {:pole=>1, :level=>1}, {:pole=>3, :level=>0}, {:pole=>0, :level=>0}, {:pole=>3, :level=>1}, {:pole=>2, :level=>1}, {:pole=>0, :level=>1}]","[{:pole=>1, :level=>0}, {:pole=>0, :level=>0}, {:pole=>3, :level=>0}, {:pole=>0, :level=>1}, {:pole=>2, :level=>1}, {:pole=>3, :level=>1}, {:pole=>1, :level=>1}, {:pole=>2, :level=>1}]"
8,4528,8,"[{:pole=>2, :level=>1}, {:pole=>1, :level=>0}, {:pole=>0, :level=>1}, {:pole=>1, :level=>1}, {:pole=>0, :level=>1}, {:pole=>2, :level=>1}, {:pole=>3, :level=>0}, {:pole=>0, :level=>1}]","[{:pole=>1, :level=>0}, {:pole=>3, :level=>0}, {:pole=>0, :level=>1}, {:pole=>2, :level=>1}, {:pole=>0, :level=>1}, {:pole=>1, :level=>1}, {:pole=>0, :level=>1}, {:pole=>2, :level=>1}]"
8,24,5,"[{:pole=>2, :level=>0}, {:pole=>2, :level=>0}, {:pole=>1, :level=>0}, {:pole=>3, :level=>1}, {:pole=>2, :level=>0}, {:pole=>3, :level=>1}, {:pole=>2, :level=>0}, {:pole=>0, :level=>0}]","[{:pole=>2, :level=>0}, {:pole=>3, :level=>1}, {:pole=>3, :level=>1}, {:pole=>0, :level=>0}, {:pole=>1, :level=>0}]"
9,32,6,"[{:pole=>3, :level=>0}, {:pole=>1, :level=>1}, {:pole=>1, :level=>1}, {:pole=>2, :level=>1}, {:pole=>3, :level=>0}, {:pole=>0, :level=>1}, {:pole=>2, :level=>0}, {:pole=>3, :level=>0}, {:pole=>0, :level=>1}]","[{:pole=>0, :level=>1}, {:pole=>2, :level=>0}, {:pole=>0, :level=>1}, {:pole=>2, :level=>1}, {:pole=>1, :level=>1}, {:pole=>1, :level=>1}]"
9,1626,9,"[{:pole=>1, :level=>1}, {:pole=>1, :level=>1}, {:pole=>2, :level=>0}, {:pole=>3, :level=>0}, {:pole=>3, :level=>1}, {:pole=>0, :level=>1}, {:pole=>3, :level=>0}, {:pole=>3, :level=>1}, {:pole=>2, :level=>1}]","[{:pole=>2, :level=>1}, {:pole=>2, :level=>0}, {:pole=>3, :level=>1}, {:pole=>0, :level=>1}, {:pole=>3, :level=>1}, {:pole=>1, :level=>1}, {:pole=>1, :level=>1}, {:pole=>3, :level=>0}, {:pole=>3, :level=>0}]"
9,71,9,"[{:pole=>2, :level=>0}, {:pole=>2, :level=>1}, {:pole=>3, :level=>0}, {:pole=>1, :level=>0}, {:pole=>3, :level=>1}, {:pole=>0, :level=>0}, {:pole=>2, :level=>1}, {:pole=>1, :level=>1}, {:pole=>2, :level=>0}]","[{:pole=>0, :level=>0}, {:pole=>3, :level=>0}, {:pole=>1, :level=>1}, {:pole=>2, :level=>1}, {:pole=>3, :level=>1}, {:pole=>2, :level=>1}, {:pole=>1, :level=>0}, {:pole=>2, :level=>0}, {:pole=>2, :level=>0}]"
9,830,9,"[{:pole=>2, :level=>1}, {:pole=>2, :level=>1}, {:pole=>0, :level=>1}, {:pole=>2, :level=>0}, {:pole=>1, :level=>1}, {:pole=>3, :level=>1}, {:pole=>2, :level=>0}, {:pole=>3, :level=>1}, {:pole=>3, :level=>0}]","[{:pole=>3, :level=>0}, {:pole=>3, :level=>1}, {:pole=>3, :level=>1}, {:pole=>1, :level=>1}, {:pole=>0, :level=>1}, {:pole=>2, :level=>1}, {:pole=>2, :level=>1}, {:pole=>2, :level=>0}, {:pole=>2, :level=>0}]"
9,3,3,"[{:pole=>1, :level=>0}, {:pole=>0, :level=>0}, {:pole=>0, :level=>0}, {:pole=>2, :level=>0}, {:pole=>1, :level=>1}, {:pole=>1, :level=>1}, {:pole=>2, :level=>0}, {:pole=>1, :level=>1}, {:pole=>0, :level=>0}]","[{:pole=>1, :level=>0}, {:pole=>2, :level=>0}, {:pole=>2, :level=>0}]"
10,87,7,"[{:pole=>0, :level=>0}, {:pole=>2, :level=>1}, {:pole=>1, :level=>0}, {:pole=>3, :level=>0}, {:pole=>2, :level=>1}, {:pole=>2, :level=>0}, {:pole=>3, :level=>1}, {:pole=>1, :level=>0}, {:pole=>1, :level=>1}, {:pole=>1, :level=>0}]","[{:pole=>2, :level=>0}, {:pole=>3, :level=>0}, {:pole=>0, :level=>0}, {:pole=>1, :level=>1}, {:pole=>3, :level=>1}, {:pole=>2, :level=>1}, {:pole=>2, :level=>1}]"
10,74,7,"[{:pole=>0, :level=>0}, {:pole=>2, :level=>1}, {:pole=>0, :level=>0}, {:pole=>3, :level=>0}, {:pole=>3, :level=>0}, {:pole=>2, :level=>0}, {:pole=>0, :level=>0}, {:pole=>0, :level=>1}, {:pole=>2, :level=>1}, {:pole=>1, :level=>0}]","[{:pole=>1, :level=>0}, {:pole=>2, :level=>1}, {:pole=>0, :level=>1}, {:pole=>2, :level=>1}, {:pole=>2, :level=>0}, {:pole=>3, :level=>0}, {:pole=>3, :level=>0}]"
10,31,7,"[{:pole=>3, :level=>0}, {:pole=>0, :level=>1}, {:pole=>2, :level=>1}, {:pole=>2, :level=>0}, {:pole=>3, :level=>0}, {:pole=>0, :level=>0}, {:pole=>1, :level=>1}, {:pole=>0, :level=>0}, {:pole=>2, :level=>0}, {:pole=>0, :level=>0}]","[{:pole=>1, :level=>1}, {:pole=>2, :level=>1}, {:pole=>0, :level=>1}, {:pole=>2, :level=>0}, {:pole=>2, :level=>0}, {:pole=>3, :level=>0}, {:pole=>3, :level=>0}]"
10,9,7,"[{:pole=>2, :level=>0}, {:pole=>1, :level=>1}, {:pole=>1, :level=>0}, {:pole=>1, :level=>1}, {:pole=>1, :level=>0}, {:pole=>3, :level=>0}, {:pole=>0, :level=>1}, {:pole=>3, :level=>1}, {:pole=>2, :level=>0}, {:pole=>1, :level=>0}]","[{:pole=>3, :level=>0}, {:pole=>3, :level=>1}, {:pole=>0, :level=>1}, {:pole=>1, :level=>1}, {:pole=>1, :level=>1}, {:pole=>2, :level=>0}, {:pole=>2, :level=>0}]"
10,28,7,"[{:pole=>0, :level=>0}, {:pole=>3, :level=>0}, {:pole=>1, :level=>1}, {:pole=>2, :level=>1}, {:pole=>2, :level=>1}, {:pole=>2, :level=>0}, {:pole=>2, :level=>1}, {:pole=>0, :level=>0}, {:pole=>3, :level=>1}, {:pole=>3, :level=>0}]","[{:pole=>3, :level=>1}, {:pole=>1, :level=>1}, {:pole=>0, :level=>0}, {:pole=>0, :level=>0}, {:pole=>2, :level=>0}, {:pole=>3, :level=>0}, {:pole=>3, :level=>0}]"
